#TrainType3  -  Started: 5/25/2007 3:03:34 PM									
#SubID	Block	Trial	Condition	Digit	Picture	Response	Correct_Response	Accuracy	RT
26	6	46	2	5	3	","	","	C	386
26	6	47	2	1	2	Z	Z	C	482
26	6	48	2	1	2	Z	Z	C	547
26	6	49	2	1	2	Z	Z	C	402
26	6	50	2	2	5	X	X	C	451
26	7	1	2	5	3	","	","	C	536
26	7	2	2	2	5	X	X	C	434
26	7	3	2	5	3	","	","	C	482
26	7	4	2	3	1	C	C	C	466
26	7	5	2	5	3	","	","	C	450
26	7	6	2	4	4	M	M	C	556
26	7	7	2	5	3	","	","	C	578
26	7	8	2	2	5	X	X	C	530
26	7	9	2	2	5	X	X	C	386
26	7	10	2	2	5	X	X	C	402
26	7	11	2	6	6	.	.	C	482
26	7	12	2	4	4	C	M	I	556
26	7	13	2	4	4	M	M	C	594
26	7	14	2	1	2	Z	Z	C	520
26	7	15	2	2	5	X	X	C	466
26	7	16	2	3	1	C	C	C	498
26	7	17	2	3	1	C	C	C	514
26	7	18	2	3	1	C	C	C	402
26	7	19	2	1	2	Z	Z	C	508
26	7	20	2	1	2	Z	Z	C	370
26	7	21	2	5	3	","	","	C	514
26	7	22	2	4	4	M	M	C	482
26	7	23	2	1	2	Z	Z	C	482
26	7	24	2	6	6	.	.	C	466
26	7	25	2	1	2	Z	Z	C	418
26	7	26	2	5	3	","	","	C	546
26	7	27	2	3	1	C	C	C	706
26	7	28	2	6	6	.	.	C	512
26	7	29	2	2	5	X	X	C	562
26	7	30	2	2	5	X	X	C	434
26	7	31	2	2	5	X	X	C	418
26	7	32	2	2	5	X	X	C	482
26	7	33	2	1	2	Z	Z	C	429
26	7	34	2	6	6	.	.	C	594
26	7	35	2	3	1	C	C	C	482
26	7	36	2	3	1	C	C	C	402
26	7	37	2	1	2	Z	Z	C	450
26	7	38	2	3	1	C	C	C	642
26	7	39	2	4	4	M	M	C	466
26	7	40	2	2	5	X	X	C	450
26	7	41	2	4	4	M	M	C	498
26	7	42	2	4	4	M	M	C	482
26	7	43	2	1	2	Z	Z	C	482
26	7	44	2	1	2	Z	Z	C	467
26	7	45	2	1	2	Z	Z	C	488
26	7	46	2	3	1	C	C	C	546
26	7	47	2	3	1	C	C	C	466
26	7	48	2	3	1	C	C	C	483
26	7	49	2	3	1	C	C	C	396
26	7	50	2	4	4	M	M	C	434
26	8	1	2	2	5	X	X	C	548
26	8	2	2	2	5	X	X	C	328
26	8	3	2	1	2	Z	Z	C	376
26	8	4	2	2	5	X	X	C	418
26	8	5	2	1	2	Z	Z	C	312
26	8	6	2	3	1	C	C	C	466
26	8	7	2	2	5	X	X	C	434
26	8	8	2	2	5	X	X	C	434
26	8	9	2	5	3	","	","	C	392
26	8	10	2	2	5	C	X	I	370
26	8	11	2	5	3	","	","	C	444
26	8	12	2	4	4	M	M	C	520
26	8	13	2	2	5	X	X	C	338
26	8	14	2	4	4	M	M	C	610
26	8	15	2	6	6	.	.	C	466
26	8	16	2	2	5	X	X	C	498
26	8	17	2	6	6	.	.	C	514
26	8	18	2	5	3	","	","	C	498
26	8	19	2	4	4	M	M	C	620
26	8	20	2	1	2	Z	Z	C	498
26	8	21	2	4	4	M	M	C	530
26	8	22	2	5	3	","	","	C	418
26	8	23	2	3	1	C	C	C	482
26	8	24	2	6	6	.	.	C	428
26	8	25	2	5	3	","	","	C	540
26	8	26	2	3	1	C	C	C	558
26	8	27	2	6	6	.	.	C	418
26	8	28	2	2	5	X	X	C	418
26	8	29	2	1	2	Z	Z	C	482
26	8	30	2	6	6	.	.	C	594
26	8	31	2	2	5	X	X	C	460
26	8	32	2	1	2	Z	Z	C	482
26	8	33	2	3	1	C	C	C	562
26	8	34	2	3	1	C	C	C	514
26	8	35	2	2	5	X	X	C	482
26	8	36	2	2	5	X	X	C	530
26	8	37	2	4	4	M	M	C	562
26	8	38	2	6	6	.	.	C	546
26	8	39	2	3	1	C	C	C	610
26	8	40	2	3	1	C	C	C	514
26	8	41	2	2	5	X	X	C	514
26	8	42	2	3	1	C	C	C	514
26	8	43	2	4	4	M	M	C	578
26	8	44	2	3	1	C	C	C	530
26	8	45	2	6	6	.	.	C	578
26	8	46	2	5	3	","	","	C	482
26	8	47	2	5	3	","	","	C	552
26	8	48	2	1	2	Z	Z	C	546
26	8	49	2	1	2	Z	Z	C	498
26	8	50	2	4	4	M	M	C	578
26	9	1	2	2	5	X	X	C	442
26	9	2	2	3	1	C	C	C	428
26	9	3	2	2	5	X	X	C	434
26	9	4	2	6	6	.	.	C	514
26	9	5	2	2	5	X	X	C	514
26	9	6	2	5	3	","	","	C	498
26	9	7	2	6	6	.	.	C	482
26	9	8	2	5	3	","	","	C	466
26	9	9	2	6	6	.	.	C	450
26	9	10	2	3	1	C	C	C	556
26	9	11	2	1	2	Z	Z	C	466
26	9	12	2	3	1	C	C	C	530
26	9	13	2	2	5	X	X	C	344
26	9	14	2	3	1	C	C	C	508
26	9	15	2	6	6	.	.	C	482
26	9	16	2	2	5	X	X	C	498
26	9	17	2	6	6	.	.	C	466
26	9	18	2	5	3	","	","	C	498
26	9	19	2	4	4	C	M	I	434
26	9	20	2	6	6	.	.	C	434
26	9	21	2	2	5	X	X	C	444
26	9	22	2	1	2	Z	Z	C	460
26	9	23	2	4	4	M	M	C	498
26	9	24	2	5	3	","	","	C	418
26	9	25	2	4	4	M	M	C	546
26	9	26	2	6	6	.	.	C	658
26	9	27	2	5	3	","	","	C	386
26	9	28	2	1	2	Z	Z	C	418
26	9	29	2	5	3	","	","	C	658
26	9	30	2	2	5	X	X	C	562
26	9	31	2	4	4	M	M	C	524
26	9	32	2	5	3	","	","	C	514
26	9	33	2	5	3	","	","	C	434
26	9	34	2	2	5	X	X	C	658
26	9	35	2	3	1	C	C	C	482
26	9	36	2	3	1	C	C	C	626
26	9	37	2	2	5	X	X	C	530
26	9	38	2	6	6	.	.	C	578
26	9	39	2	2	5	X	X	C	546
26	9	40	2	2	5	X	X	C	412
26	9	41	2	1	2	Z	Z	C	434
26	9	42	2	4	4	M	M	C	578
26	9	43	2	4	4	M	M	C	402
26	9	44	2	4	4	M	M	C	402
26	9	45	2	5	3	","	","	C	444
26	9	46	2	3	1	C	C	C	482
26	9	47	2	4	4	M	M	C	434
26	9	48	2	2	5	X	X	C	524
26	9	49	2	6	6	.	.	C	476
26	9	50	2	1	2	Z	Z	C	476
26	10	1	2	2	5	X	X	C	426
26	10	2	2	1	2	Z	Z	C	402
26	10	3	2	1	2	Z	Z	C	392
26	10	4	2	1	2	Z	Z	C	328
26	10	5	2	2	5	X	X	C	386
26	10	6	2	1	2	Z	Z	C	402
26	10	7	2	4	4	M	M	C	514
26	10	8	2	4	4	M	M	C	402
26	10	9	2	4	4	M	M	C	466
26	10	10	2	3	1	C	C	C	642
26	10	11	2	3	1	C	C	C	402
26	10	12	2	4	4	M	M	C	514
26	10	13	2	1	2	Z	Z	C	414
26	10	14	2	3	1	M	C	I	386
26	10	15	2	3	1	C	C	C	396
26	10	16	2	3	1	C	C	C	402
26	10	17	2	3	1	C	C	C	360
26	10	18	2	5	3	","	","	C	562
26	10	19	2	1	2	Z	Z	C	344
26	10	20	2	2	5	X	X	C	364
26	10	21	2	2	5	X	X	C	370
26	10	22	2	5	3	","	","	C	482
26	10	23	2	2	5	X	X	C	386
26	10	24	2	1	2	Z	Z	C	376
26	10	25	2	5	3	","	","	C	434
26	10	26	2	6	6	.	.	C	450
26	10	27	2	1	2	Z	Z	C	434
26	10	28	2	6	6	.	.	C	450
26	10	29	2	6	6	.	.	C	498
26	10	30	2	1	2	Z	Z	C	482
26	10	31	2	3	1	C	C	C	482
26	10	32	2	5	3	","	","	C	562
26	10	33	2	6	6	.	.	C	434
26	10	34	2	5	3	","	","	C	495
26	10	35	2	3	1	C	C	C	530
26	10	36	2	1	2	Z	Z	C	344
26	10	37	2	6	6	.	.	C	448
26	10	38	2	4	4	M	M	C	498
26	10	39	2	4	4	M	M	C	412
26	10	40	2	4	4	M	M	C	360
26	10	41	2	5	3	","	","	C	412
26	10	42	2	6	6	.	.	C	370
26	10	43	2	2	5	X	X	C	492
26	10	44	2	5	3	","	","	C	402
26	10	45	2	1	2	Z	Z	C	386
26	10	46	2	3	1	C	C	C	498
26	10	47	2	5	3	","	","	C	396
26	10	48	2	2	5	X	X	C	370
26	10	49	2	3	1	C	C	C	386
26	10	50	2	3	1	C	C	C	370
26	11	1	2	2	3	","	X	I	1235
26	11	2	2	4	2	M	M	C	1793
26	11	3	2	4	2	M	M	C	642
26	11	4	2	4	2	M	M	C	396
26	11	5	2	3	5	C	C	C	1458
26	11	6	2	1	1	Z	Z	C	1243
26	11	7	2	3	5	Z	C	I	545
26	11	8	2	1	1	Z	Z	C	1025
26	11	9	2	4	2	Z	M	I	722
26	11	10	2	1	1	Z	Z	C	1009
26	11	11	2	2	3	X	X	C	898
26	11	12	2	4	2	M	M	C	940
26	11	13	2	5	4	","	","	C	865
26	11	14	2	5	4	","	","	C	657
26	11	15	2	2	3	X	X	C	961
26	11	16	2	1	1	Z	Z	C	1148
26	11	17	2	6	6	.	.	C	946
26	11	18	2	2	3	X	X	C	1660
26	11	19	2	3	5	C	C	C	834
26	11	20	2	1	1	Z	Z	C	866
26	11	21	2	2	3	X	X	C	673
26	11	22	2	5	4	","	","	C	833
26	11	23	2	6	6	.	.	C	497
26	11	24	2	1	1	Z	Z	C	673
26	11	25	2	2	3	X	X	C	439
26	11	26	2	3	5	C	C	C	386
26	11	27	2	1	1	Z	Z	C	616
26	11	28	2	5	4	","	","	C	882
26	11	29	2	2	3	X	X	C	722
26	11	30	2	4	2	M	M	C	834
26	11	31	2	4	2	M	M	C	475
26	11	32	2	5	4	","	","	C	609
26	11	33	2	1	1	Z	Z	C	689
26	11	34	2	2	3	X	X	C	705
26	11	35	2	3	5	C	C	C	402
26	11	36	2	2	3	X	X	C	1154
26	11	37	2	4	2	M	M	C	882
26	11	38	2	4	2	M	M	C	450
26	11	39	2	1	1	Z	Z	C	604
26	11	40	2	5	4	","	","	C	753
26	11	41	2	2	3	X	X	C	939
26	11	42	2	3	5	C	C	C	657
26	11	43	2	4	2	M	M	C	594
26	11	44	2	3	5	C	C	C	636
26	11	45	2	1	1	Z	Z	C	844
26	11	46	2	1	1	Z	Z	C	450
26	11	47	2	3	5	C	C	C	967
26	11	48	2	1	1	Z	Z	C	610
26	11	49	2	4	2	M	M	C	737
26	11	50	2	4	2	M	M	C	449
26	12	1	2	5	4	","	","	C	1016
26	12	2	2	2	3	X	X	C	641
26	12	3	2	3	5	C	C	C	401
26	12	4	2	3	5	C	C	C	593
26	12	5	2	1	1	Z	Z	C	673
26	12	6	2	1	1	Z	Z	C	434
26	12	7	2	6	6	.	.	C	658
26	12	8	2	1	1	Z	Z	C	530
26	12	9	2	3	5	C	C	C	716
26	12	10	2	4	2	M	M	C	706
26	12	11	2	5	4	","	","	C	491
26	12	12	2	3	5	C	C	C	881
26	12	13	2	2	3	X	X	C	619
26	12	14	2	4	2	M	M	C	577
26	12	15	2	2	3	C	X	I	498
26	12	16	2	5	4	","	","	C	754
26	12	17	2	4	2	M	M	C	658
26	12	18	2	6	6	.	.	C	530
26	12	19	2	3	5	C	C	C	587
26	12	20	2	3	5	C	C	C	459
26	12	21	2	6	6	.	.	C	571
26	12	22	2	5	4	","	","	C	689
26	12	23	2	4	2	M	M	C	674
26	12	24	2	1	1	Z	Z	C	610
26	12	25	2	3	5	C	C	C	578
26	12	26	2	3	5	C	C	C	386
26	12	27	2	5	4	","	","	C	578
26	12	28	2	4	2	M	M	C	610
26	12	29	2	2	3	X	X	C	497
26	12	30	2	6	6	.	.	C	465
26	12	31	2	6	6	.	.	C	478
26	12	32	2	4	2	M	M	C	513
26	12	33	2	4	2	M	M	C	434
26	12	34	2	2	3	X	X	C	546
26	12	35	2	6	6	.	.	C	482
26	12	36	2	2	3	X	X	C	562
26	12	37	2	3	5	C	C	C	514
26	12	38	2	1	1	Z	Z	C	466
26	12	39	2	2	3	X	X	C	561
26	12	40	2	6	6	.	.	C	577
26	12	41	2	1	1	Z	Z	C	705
26	12	42	2	4	2	M	M	C	556
26	12	43	2	6	6	.	.	C	546
26	12	44	2	5	4	","	","	C	562
26	12	45	2	2	3	X	X	C	524
26	12	46	2	4	2	M	M	C	722
26	12	47	2	2	3	X	X	C	482
26	12	48	2	4	2	M	M	C	763
26	12	49	2	2	3	X	X	C	481
26	12	50	2	3	5	C	C	C	545
26	13	1	2	3	5	C	C	C	659
26	13	2	2	4	2	M	M	C	529
26	13	3	2	3	5	C	C	C	481
26	13	4	2	5	4	","	","	C	561
26	13	5	2	4	2	M	M	C	497
26	13	6	2	1	1	Z	Z	C	658
26	13	7	2	3	5	C	C	C	466
26	13	8	2	6	6	.	.	C	456
26	13	9	2	1	1	Z	Z	C	514
26	13	10	2	1	1	Z	Z	C	402
26	13	11	2	1	1	Z	Z	C	380
26	13	12	2	1	1	Z	Z	C	363
26	13	13	2	5	4	.	","	I	507
26	13	14	2	2	3	X	X	C	529
26	13	15	2	6	6	.	.	C	722
26	13	16	2	6	6	.	.	C	466
26	13	17	2	2	3	X	X	C	498
26	13	18	2	2	3	X	X	C	482
26	13	19	2	6	6	.	.	C	690
26	13	20	2	4	2	M	M	C	558
26	13	21	2	2	3	C	X	I	737
26	13	22	2	3	5	C	C	C	540
26	13	23	2	1	1	Z	Z	C	987
26	13	24	2	3	5	C	C	C	609
26	13	25	2	6	6	.	.	C	625
26	13	26	2	3	5	C	C	C	706
26	13	27	2	2	3	X	X	C	833
26	13	28	2	5	4	","	","	C	562
26	13	29	2	1	1	Z	Z	C	481
26	13	30	2	6	6	.	.	C	481
26	13	31	2	4	2	M	M	C	609
26	13	32	2	2	3	X	X	C	465
26	13	33	2	4	2	M	M	C	594
26	13	34	2	5	4	","	","	C	604
26	13	35	2	2	3	X	X	C	514
26	13	36	2	2	3	X	X	C	546
26	13	37	2	1	1	Z	Z	C	530
26	13	38	2	6	6	.	.	C	786
26	13	39	2	2	3	X	X	C	465
26	13	40	2	3	5	C	C	C	673
26	13	41	2	4	2	M	M	C	567
26	13	42	2	3	5	C	C	C	578
26	13	43	2	6	6	.	.	C	418
26	13	44	2	1	1	Z	Z	C	562
26	13	45	2	5	4	","	","	C	482
26	13	46	2	2	3	X	X	C	466
26	13	47	2	1	1	Z	Z	C	546
26	13	48	2	4	2	M	M	C	699
26	13	49	2	5	4	","	","	C	577
26	13	50	2	1	1	Z	Z	C	465
26	14	1	2	6	6	.	.	C	722
26	14	2	2	1	1	Z	Z	C	513
26	14	3	2	4	2	M	M	C	529
26	14	4	2	5	4	","	","	C	459
26	14	5	2	6	6	.	.	C	636
26	14	6	2	3	5	Z	C	I	434
26	14	7	2	3	5	C	C	C	450
26	14	8	2	3	5	C	C	C	328
26	14	9	2	6	6	.	.	C	494
26	14	10	2	1	1	Z	Z	C	609
26	14	11	2	6	6	.	.	C	529
26	14	12	2	1	1	Z	Z	C	657
26	14	13	2	5	4	","	","	C	497
26	14	14	2	6	6	.	.	C	466
26	14	15	2	5	4	","	","	C	514
26	14	16	2	4	2	M	M	C	546
26	14	17	2	1	1	Z	Z	C	514
26	14	18	2	5	4	.	","	I	811
26	14	19	2	1	1	Z	Z	C	497
